Time (hrs), Estradiol (pg/mL)
0.023025848320728848, 19.37058865326619
2.029566878779745, 14.966998784165739
4.050200533703874, 17.696290126478353
6.018194091361261, 23.782172237924556
8.101001089513826, 27.98005716000064
9.960260378013928, 39.030865610838305
12.041271257362112, 42.319657829498986
18.10552099287868, 51.69634539167233
24.13495365618733, 43.450620549178126
30.05952061391735, 42.127867868816224
36.05247824919866, 45.42056812619413
42.03783692030759, 44.86710694604538
48.06906570242061, 37.53047480696658
60.1002984320475, 37.0529835309722
72.0565086608454, 28.603389335396578
84.08787955345721, 28.19582826735722
88.03298542577883, 14.98298621528162
92.05850215534255, 12.46952519303344
95.96685667366694, 10.655247824919869
