Time (hrs), Estradiol (pg/mL)
1.8697318007662815, 3.9146455480394025
3.9131545338441853, 16.68518212982825
7.918263090676881, 68.78146253826836
11.841634738186464, 84.70567746429815
23.93869731800767, 97.02304350217234
35.87228607918263, 85.08240297713981
47.96934865900384, 83.332783369081
59.902937420178816, 70.38735815505325
71.9182630906769, 59.451318997598484
83.933588761175, 46.7927918018662
85.89527458492978, 33.152028451483986
95.94891443167307, 10.306513409961724
108.04597701149427, 7.5521091129076865
