Time (days), Estradiol (pg/mL)
1.1102230246251565e-15, 3.2081911262798712
0.08232445520581222, 3.8225255972696317
0.15980629539951674, 14.675767918088738
0.3341404358353526, 40.47781569965869
0.4987893462469748, 47.030716723549475
0.997578692493948, 49.48805460750853
1.4963680387409213, 49.078498293515366
1.995157384987895, 36.17747440273038
2.4987893462469737, 34.53924914675768
3.0072639225181605, 23.2764505119454
3.501210653753028, 21.433447098976117
3.5786924939467326, 16.313993174061437
3.6658595641646494, 12.62798634812286
3.8256658595641655, 9.761092150170654
4.000000000000001, 6.2798634812286735
4.2372881355932215, 5.665529010238913
4.498789346246975, 5.255972696245735
4.997578692493948, 4.232081911262796
