Time (days), Estradiol (pg/mL)
1.1102230246251565e-15, 3.4129692832764533
0.08232445520581222, 4.846416382252556
0.16464891041162377, 27.781569965870318
0.3389830508474587, 84.30034129692832
0.4987893462469748, 100.68259385665529
0.997578692493948, 98.839590443686
1.4915254237288147, 101.29692832764505
1.9854721549636818, 68.7372013651877
2.4939467312348675, 63.003412969283275
3.0072639225181605, 36.79180887372014
3.501210653753028, 36.79180887372014
3.5835351089588388, 26.552901023890783
3.6658595641646494, 19.38566552901024
3.8256658595641655, 14.470989761092142
4.000000000000001, 8.737201365187715
4.242130750605328, 7.098976109215016
4.503631961259081, 6.2798634812286735
5.002421307506054, 4.641638225255974
