Time (hrs), Estradiol (pg/mL)
0.08489989550226085, 5.30269994684717
1.9621710942613078, 5.438836278434067
4.020407794302159, 11.626078875908036
8.089918679784937, 46.479149265442345
12.14000527912468, 69.94901667263281
16.173863993838616, 83.90886639837144
22.138840979024522, 79.56082021687803
34.193454608567386, 93.91895458868026
46.10398429279618, 73.83965924334959
60.09389610248734, 72.3394477167786
72.09343327511834, 54.42115844244128
84.04084451531489, 55.95553964586476
87.99700608545672, 24.38257744222794
91.99177035084483, 15.431930026287176
95.90834571758128, 10.660288326987555
