Time (hrs), Estradiol (pg/mL)
4.012047974949468, 6.726978858190421
8.042710288146196, 18.81364328303701
12.067471552388078, 27.442119460082964
16.087561152874052, 33.332863274286694
22.057455678855668, 31.86664063262718
34.093136776335065, 35.12975437606893
46.02776241046279, 29.171394375924308
60.01841185127332, 28.10345638032841
71.9522998542817, 21.712822849208692
83.89749820112016, 21.950383459706913
87.97438539779648, 11.126189158992062
91.89464892012973, 8.51591511456786
95.90269054566625, 7.346191256178585
