Time (hrs), Estradiol (pg/mL)
3.929433289581681, 8.312343388981091
8.057954664612872, 27.747296256522077
12.090338117088088, 40.842598920310536
16.106493684937504, 44.42788390264716
21.993281771471757, 44.25884343779492
34.025766467433954, 45.64877188034468
45.953015790368134, 35.367676570449206
59.94120646078081, 32.85882680493634
71.96188905883332, 27.332378751884775
83.99461963183532, 28.86639837142623
87.98028644675134, 14.58437740679274
91.89809119868673, 10.533191592451587
95.90539519310386, 8.931194203087216
